

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Amazon Home,2022-08-08,16:29:53,https://www.amazon.com/,WINDOWS,10,Chrome,104,3789,42,201,114,1423,2008,49,464062,24822.700000000652
Base Run,0,Amazon Home,2022-08-07,14:00:13,https://www.amazon.com/,WINDOWS,10,Chrome,104,3314,913,534,279,1506,68,300,2971487,102422.0

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
https://m.media-amazon.com/images/S/sash/pDxWAF1pBB0dzGB.woff2,css,0,-298.29999999981374,found match
https://unagi-na.amazon.com/1/events/com.amazon.csm.nexusclient.prod,beacon,0,-51.5999999998603,found match
https://www.amazon.com/rd/uedata?ld&v=0.215061.0&id=GA1XKWN8C36HWZG2CZEE&sw=1280&sh=1024&vw=1017&vh=827&m=1&sc=GA1XKWN8C36HWZG2CZEE&ue=4&bb=968&cf=1162&be=1178&fp=1146&fcp=1146&pc=3367&tc=-393&na_=-393&ul_=-1659956389012&_ul=-1659956389012&rd_=-1659956389012&_rd=-1659956389012&fe_=-389&lk_=-389&_lk=-389&co_=-388&_co=-351&sc_=-367&rq_=-350&rs_=-149&_rs=-35&dl_=-16&di_=1388&de_=1388&_de=1388&_dc=3366&ld_=3367&_ld=-1659956389012&ntd=0&ty=0&rc=0&hob=1&hoe=4&ld=3367&t=1659956392379&ctb=1&rt=cf:15-0-2-13-1-0-0__ld:24-4-2-14-4-0-1&csmtags=aui|aui:aui_build_date:3.20.8-2020-12-10|gwCFImgNoCache|fls-na-amazon-com|adblk_no&viz=visible:4&pty=Gateway&spty=desktop&pti=desktop&tid=GA1XKWN8C36HWZG2CZEE&aftb=1,img,371,246.60000000009313,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26sw%3D1280%26sh%3D1024%26vw%3D1017%26vh%3D827%26m%3D1%26sc%3DGA1XKWN8C36HWZG2CZEE%26ue%3D4%26bb%3D968%26cf%3D1162%26be%3D1178%26fp%3D1146%26fcp%3D1146%26pc%3D3367%26tc%3D-393%26na_%3D-393%26ul_%3D-1659956389012%26_ul%3D-1659956389012%26rd_%3D-1659956389012%26_rd%3D-1659956389012%26fe_%3D-389%26lk_%3D-389%26_lk%3D-389%26co_%3D-388%26_co%3D-351%26sc_%3D-367%26rq_%3D-350%26rs_%3D-149%26_rs%3D-35%26dl_%3D-16%26di_%3D1388%26de_%3D1388%26_de%3D1388%26_dc%3D3366%26ld_%3D3367%26_ld%3D-1659956389012%26ntd%3D0%26ty%3D0%26rc%3D0%26hob%3D1%26hoe%3D4%26ld%3D3367%26t%3D1659956392379%26ctb%3D1%26rt%3Dcf%3A15-0-2-13-1-0-0__ld%3A24-4-2-14-4-0-1%26csmtags%3Daui%7Caui%3Aaui_build_date%3A3.20.8-2020-12-10%7CgwCFImgNoCache%7Cfls-na-amazon-com%7Cadblk_no%26viz%3Dvisible%3A4%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3378,img,0,332.70000000018626,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26sc0%3Dportal-bb%26pc0%3D3%26ld0%3D3%26t0%3D1659956389983%26sc1%3Dh1Af%26cf1%3D1017%26pc1%3D1017%26ld1%3D1017%26t1%3D1659956390029%26sc2%3Ddesktop-btf-grid-2-visible%26cf2%3D1163%26pc2%3D1163%26ld2%3D1163%26t2%3D1659956390175%26sc3%3Ddesktop-btf-grid-3-visible%26cf3%3D1164%26pc3%3D1164%26ld3%3D1164%26t3%3D1659956390176%26sc4%3Ddesktop-btf-grid-4-visible%26cf4%3D1164%26pc4%3D1164%26ld4%3D1164%26t4%3D1659956390176%26sc5%3Ddesktop-grid-1-visible%26cf5%3D1166%26pc5%3D1166%26ld5%3D1166%26t5%3D1659956390178%26sc6%3Ddesktop-grid-3-visible%26cf6%3D1166%26pc6%3D1166%26ld6%3D1166%26t6%3D1659956390178%26sc7%3Ddesktop-grid-2-visible%26cf7%3D1168%26pc7%3D1168%26ld7%3D1168%26t7%3D1659956390180%26sc8%3Ddesktop-btf-grid-1-visible%26cf8%3D1168%26pc8%3D1168%26ld8%3D1168%26t8%3D1659956390180%26sc9%3Ddesktop-grid-4-visible%26cf9%3D1168%26pc9%3D1168%26ld9%3D1168%26t9%3D1659956390180%26sc10%3DcsmCELLSframework%26bb10%3D1181%26pc10%3D1181%26ld10%3D1181%26t10%3D1659956390193%26sc11%3DcsmCELLSpdm%26bb11%3D1181%26pc11%3D1279%26ld11%3D1279%26t11%3D1659956390291%26sc12%3DcsmCELLSvpm%26bb12%3D1279%26pc12%3D1279%26ld12%3D1279%26t12%3D1659956390291%26sc13%3DcsmCELLSfem%26bb13%3D1280%26pc13%3D1280%26ld13%3D1280%26t13%3D1659956390292%26sc14%3Due_sushi_v1%26bb14%3D1280%26pc14%3D1281%26ld14%3D1281%26t14%3D1659956390293%26sc15%3DjQueryReady%26cf15%3D1487%26pc15%3D1487%26ld15%3D1487%26t15%3D1659956390499%26sc16%3Dgateway-asset-load%26cf16%3D1488%26pc16%3D1489%26ld16%3D1489%26t16%3D1659956390501%26sc17%3DgwGridInit%26cf17%3D1489%26pc17%3D1489%26ld17%3D1489%26t17%3D1659956390501%26sc18%3DgwBTFGridInit%26cf18%3D1493%26pc18%3D1493%26ld18%3D1493%26t18%3D1659956390505%26sc19%3Dhero-first-image%26cf19%3D1510%26pc19%3D1510%26ld19%3D1510%26t19%3D1659956390522%26ctb%3D1:3378,img,0,406.79999999981374,new
https://unagi.amazon.com/1/events/com.amazon.csm.csa.prod,beacon,0,-226.39999999967404,found match
https://images-na.ssl-images-amazon.com/images/I/31YXrY93hfL.js,script,0,-17.200000000186265,found match
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26ctb%3D1%26sc0%3DjQueryDomReady%26cf0%3D3386%26pc0%3D3386%26ld0%3D3386%26t0%3D1659956392398%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3386,img,0,325.5,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26ctb%3D1%26sc0%3DjQueryWindowLoad%26cf0%3D3388%26pc0%3D3388%26ld0%3D3388%26t0%3D1659956392400%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3388,img,0,318.5,new
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F11Y%2B5x%2BkkTL._RC%257C510-DqpHv3L.js%2C11HZwqTrxmL.js%2C11giXtZCwVL.js%2C01%2Bz%2BuIeJ-L.js%2C014VApivrFL.js%2C21NNXfMitSL.js%2C11GXfd3%2Bz%2BL.js%2C513Ys2IkKiL.js%2C11AHlQhPRjL.js%2C01Gpt4sPPhL.js%2C11OREnu1epL.js%2C11KbZymw5ZL.js%2C21r53SJg7LL.js%2C0190vxtlzcL.js%2C51A3Le4wx8L.js%2C31R%2BYg2le%2BL.js%2C01Gf12ogmOL.js%2C01ezj5Rkz1L.js%2C11VS-C%2BYWGL.js%2C31pOTH2ZMRL.js%2C01rpauTep4L.js%2C010w70919%2BL.js_.js%3FAUIClients%2FAmazonUI%26ooutlTyX%23page_type-Gateway,script,71256,77.89999999990687,new
