id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
0,Amazon Home,2022-08-16,11:50:52,https://www.amazon.com/,WINDOWS,10,Chrome,104,3092.20000000007,855.3000000000466,193.0,258.5999999999767,1726.0,51.90000000002328,300,3039061,178033.79999999877
0,Amazon Home,2022-08-16,11:54:05,https://www.amazon.com/,WINDOWS,10,Chrome,104,4151.199999999953,1436.5,231.20000000018626,340.29999999981374,950.3000000000466,1192.1999999999534,273,2883203,106908.10000000033
0,Amazon Home,2022-08-16,19:21:27,https://www.amazon.com/,WINDOWS,10,Chrome,104,2323.8000000000466,689.6999999999534,130.4000000001397,89.5,1305.0999999998603,88.20000000018626,52,473077,13692.100000000559
0,Amazon Home,2022-08-16,19:44:46,https://www.amazon.com/,WINDOWS,10,Firefox,103,1177.0,19.0,54.0,140.0,465.0,496.0,9,38185,1788.0
0,Amazon Home,2022-08-16,19:45:23,https://www.amazon.com/,WINDOWS,10,Chrome,104,7132.900000000023,134.09999999997672,162.0,266.60000000009313,6248.79999999993,315.9000000000233,300,2795389,261394.30000000005
0,Amazon Home,2022-08-16,19:56:33,https://www.amazon.com/,WINDOWS,10,Edge,104,3021.3000000000466,86.80000000004657,163.60000000009313,269.5,2412.5999999998603,88.30000000004657,288,2860583,226960.49999999907
0,Amazon Home,2022-08-16,19:56:43,https://www.amazon.com/,WINDOWS,10,Firefox,103,4750.0,321.0,28.0,537.0,3773.0,91.0,250,2165500,150602.0
0,Amazon Home,2022-08-16,19:56:49,https://www.amazon.com/,WINDOWS,10,Chrome,104,5887.599999999977,103.30000000004657,153.30000000004657,272.69999999995343,4441.800000000047,916.0999999999767,280,2853243,180176.89999999898
0,Amazon Home,2022-08-16,19:59:46,https://www.amazon.com/,WINDOWS,10,Chrome,104,2918.5,250.30000000004657,144.30000000004657,178.69999999995343,1447.9000000001397,886.0999999998603,271,2921645,72353.60000000102
0,Amazon Home,2022-08-16,19:59:54,https://www.amazon.com/,WINDOWS,10,Firefox,103,1564.0,74.0,9.0,157.0,984.0,340.0,9,39065,1961.0
0,Amazon Home,2022-08-16,20:00:37,https://www.amazon.com/,WINDOWS,10,Edge,104,6912.600000000093,226.70000000018626,416.29999999981374,295.70000000018626,5706.299999999814,246.60000000009313,291,2931697,295589.9999999993
0,Amazon Home,2022-09-02,12:09:31,https://www.amazon.com/,WINDOWS,10,Chrome,105,2336.2000000001863,564.6000000000931,152.5,291.60000000009313,1102.7999999998137,203.0,270,2725289,92890.29999999795
0,Amazon Home,2022-09-02,12:09:35,https://www.amazon.com/,WINDOWS,10,Firefox,104,1047.0,35.0,45.0,157.0,415.0,394.0,9,36768,1411.0
0,Amazon Home,2022-09-02,12:09:39,https://www.amazon.com/,WINDOWS,10,Edge,104,5328.100000000093,1198.8000000002794,159.39999999990687,289.0,2583.8000000002794,1045.1999999997206,253,2789465,134599.4000000013
0,Amazon Home,2022-09-04,18:14:46,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,1815.0,0.0,0.0,1334.0,160.0,321.0,300,0,29259.0
0,Amazon Home,2022-09-04,21:45:02,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,3718.0,0.0,0.0,1003.0000000000001,264.0000000000001,2451.0,300,0,48220.0
0,Amazon Home,2022-09-04,22:01:26,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,7514.0,0.0,0.0,702.0000000000001,707.9999999999999,6104.0,300,0,36626.0
0,Amazon Home,2022-09-04,22:11:14,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,3928.0,0.0,0.0,756.0,480.0,2692.0,300,0,22827.0
0,Amazon Home,2022-09-04,22:15:17,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,3579.0,0.0,0.0,644.0,643.0,2292.0,300,0,39449.0
0,Amazon Home,2022-09-04,22:31:57,https://www.amazon.com/,IOS,15.6.1,Safari,Empty,2108.0,0.0,0.0,566.0000000000001,1542.0,0.0,298,0,164234.0
